model,split,R2,MAE,MSE,RMSE,MAPE_%
AutoGluon,fold1,0.779914,9.041983,152.153561,12.335054,0.326883
AutoGluon,fold2,0.681984,15.781075,808.220064,28.429211,0.525354
AutoGluon,fold3,0.845317,14.923741,370.553792,19.249774,0.347493
AutoGluon,fold4,0.806813,15.030462,379.488445,19.480463,0.363873
AutoGluon,test,0.824875,18.416196,581.975891,24.124176,0.317156
LSTM,fold1,0.756516,9.588633,166.061541,12.886487,0.347284
LSTM,fold2,0.608556,17.455215,1005.143822,31.704003,0.581851
LSTM,fold3,0.838406,15.020945,381.877407,19.541684,0.351125
LSTM,fold4,0.741593,17.211400,514.385126,22.680060,0.415069
LSTM,test,0.711613,20.982472,895.553701,29.925803,0.363866
Linear,fold1,0.795242,8.855824,146.950140,12.122299,0.318519
Linear,fold2,0.836707,14.733230,472.624861,21.739937,0.479913
Linear,fold3,0.758563,17.856001,576.461912,24.009621,0.415008
Linear,fold4,0.734620,17.912204,535.105109,23.132339,0.431526
Linear,test,0.707113,23.664147,979.431454,31.295870,0.409163
Ridge,fold1,0.819461,8.610887,126.777511,11.259552,0.311101
Ridge,fold2,0.792440,15.888307,580.867391,24.101191,0.522185
Ridge,fold3,0.812308,16.112014,447.621817,21.157075,0.374548
Ridge,fold4,0.763642,17.150983,476.367296,21.825840,0.413566
Ridge,test,0.748331,22.144111,846.939572,29.102226,0.382516
SVR,fold1,0.798162,8.906641,140.477888,11.852337,0.322356
SVR,fold2,0.734383,15.407860,706.930630,26.588167,0.508910
SVR,fold3,0.828917,15.017144,406.385725,20.159011,0.350317
SVR,fold4,0.786078,16.207543,424.436219,20.601850,0.391997
SVR,test,0.779528,20.045655,710.839585,26.661575,0.346249
XGBoost,fold1,0.817385,8.153660,123.257385,11.102134,0.295664
XGBoost,fold2,0.727218,15.503074,726.218231,26.948437,0.515370
XGBoost,fold3,0.804362,15.691138,465.964133,21.586202,0.365491
XGBoost,fold4,0.798180,15.604787,406.409780,20.159608,0.376010
XGBoost,test,0.813144,19.296046,638.208892,25.262797,0.332326
