date,cv_role,r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,r_9,r_10,r_target,target_level
2016-01-04,always train (rows 1-551),-2.386874,-2.245394,-1.225655,0.085470,-5.755368,-0.628634,-0.976972,-2.331347,-2.180676,-0.757242,-1.530373,2012.660034
2016-01-05,always train (rows 1-551),0.275194,0.099738,0.456202,-2.505893,-0.502362,0.852093,0.382409,0.498918,0.417985,1.373418,0.201223,2016.709961
2016-01-06,always train (rows 1-551),-0.288902,0.140057,-1.816546,-1.956971,-0.179874,-0.832080,0.060954,0.233611,-0.505450,-0.903447,-1.311540,1990.260010
2016-01-07,always train (rows 1-551),-2.413967,-2.317043,-3.478242,-4.220477,-3.905794,-1.600629,-1.408670,-4.904322,-1.165474,-0.549221,-2.370044,1943.089966
2016-01-08,always train (rows 1-551),-1.361642,-1.640993,0.306679,0.528765,-0.146391,-2.020190,-0.888163,-0.602530,-1.068303,-0.971917,-1.083837,1922.030029
2016-01-11,always train (rows 1-551),0.295494,0.218340,-0.057323,1.619269,1.760969,-1.338866,0.023376,0.184933,-0.601054,0.579966,0.085327,1923.670044
2016-01-12,always train (rows 1-551),1.673779,1.402192,0.917742,1.451305,0.024287,2.049104,0.342788,1.907483,0.686708,-0.354849,0.780280,1938.680054
2016-01-13,always train (rows 1-551),-3.457486,-3.513441,-2.159864,-2.571048,-5.839230,0.598410,-1.979816,-3.954902,-1.241870,-1.736025,-2.496545,1890.280029
2016-01-14,always train (rows 1-551),1.642640,2.021234,2.846631,2.187108,4.586920,1.923307,1.441590,3.069977,1.927408,1.630756,1.669591,1921.839966
2016-01-15,always train (rows 1-551),-2.857549,-2.836075,-3.991709,-2.401565,-1.946376,-3.848225,-1.506994,-3.456343,-1.911229,-0.980596,-2.159910,1880.329956
2016-01-19,always train (rows 1-551),1.209019,1.056950,-0.843334,-0.483851,-1.521029,0.754148,1.284289,0.305376,0.515504,0.990307,0.053182,1881.329956
2016-01-20,always train (rows 1-551),-0.072320,-0.475923,0.454910,0.134486,-0.471737,-4.214697,-2.293363,-0.955287,-1.794875,-1.002861,-1.169386,1859.329956
2016-01-21,always train (rows 1-551),1.128663,1.165432,-0.610377,-0.506251,0.568412,1.257206,0.632861,-0.201371,0.198438,3.264290,0.519544,1868.989990
2016-01-22,always train (rows 1-551),2.585748,2.640869,3.585639,5.316722,3.714656,3.333315,1.130392,4.014425,0.844279,2.550699,2.028370,1906.900024
2016-01-25,always train (rows 1-551),-1.588266,-1.872461,-0.956243,-1.952263,0.025151,-3.382522,-2.290620,-0.949547,-0.361732,-0.021259,-1.563798,1877.079956
2016-01-26,always train (rows 1-551),0.023160,0.192501,0.733751,0.553068,0.791243,3.676668,1.417870,0.340177,4.958487,2.594094,1.414434,1903.630005
2016-01-27,always train (rows 1-551),-2.209048,-1.830202,-1.820982,-6.570609,-2.977133,-1.838324,-0.556039,0.968535,-2.968978,1.616565,-1.086348,1882.949951
